"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US05031","Craighead County, Arkansas","105835","*****"
"0500000US05045","Faulkner County, Arkansas","122227","*****"
"0500000US05051","Garland County, Arkansas","97477","*****"
"0500000US05069","Jefferson County, Arkansas","70016","*****"
"0500000US05085","Lonoke County, Arkansas","72228","*****"
"0500000US05119","Pulaski County, Arkansas","393250","*****"
"0500000US05125","Saline County, Arkansas","118703","*****"
"0500000US05131","Sebastian County, Arkansas","127793","*****"
"0500000US05143","Washington County, Arkansas","228049","*****"
"0500000US05145","White County, Arkansas","79263","*****"
"0500000US06001","Alameda County, California","1647704","*****"
"0500000US06007","Butte County, California","226864","*****"
"0500000US06013","Contra Costa County, California","1135127","*****"
"0500000US06017","El Dorado County, California","185625","*****"
"0500000US06019","Fresno County, California","979915","*****"
"0500000US06023","Humboldt County, California","136646","*****"
"0500000US06025","Imperial County, California","180883","*****"
"0500000US06029","Kern County, California","884788","*****"
"0500000US06031","Kings County, California","149785","*****"
"0500000US06033","Lake County, California","64116","*****"
"0500000US06037","Los Angeles County, California","10137915","*****"
"0500000US06039","Madera County, California","154697","*****"
"0500000US06041","Marin County, California","260651","*****"
"0500000US06045","Mendocino County, California","87628","*****"
"0500000US06047","Merced County, California","268672","*****"
"0500000US06053","Monterey County, California","435232","*****"
"0500000US06055","Napa County, California","142166","*****"
"0500000US06057","Nevada County, California","99107","*****"
"0500000US06059","Orange County, California","3172532","*****"
"0500000US06061","Placer County, California","380531","*****"
"0500000US06065","Riverside County, California","2387741","*****"
"0500000US06067","Sacramento County, California","1514460","*****"
"0500000US06071","San Bernardino County, California","2140096","*****"
"0500000US06073","San Diego County, California","3317749","*****"
"0500000US06075","San Francisco County, California","870887","*****"
"0500000US06077","San Joaquin County, California","733709","*****"
"0500000US06079","San Luis Obispo County, California","282887","*****"
"0500000US06081","San Mateo County, California","764797","*****"
"0500000US06083","Santa Barbara County, California","446170","*****"
