"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US01003","Baldwin County, Alabama","203709","*****","174923","1624","23049","1049","1917","739","303","288","0","192","1383","1442","2134","1300","812","1065","1322","749"
"0500000US01015","Calhoun County, Alabama","115620","*****","86053","1297","22709","1366","176","195","1229","140","0","192","1787","1312","3666","1306","84","144","3582","1294"
"0500000US01043","Cullman County, Alabama","82005","*****","80309","878","475","291","99","91","218","191","0","192","598","795","306","204","0","192","306","204"
"0500000US01049","DeKalb County, Alabama","71130","*****","60748","1846","1274","610","541","609","146","249","2319","2422","4605","1949","1497","806","103","143","1394","809"
"0500000US01051","Elmore County, Alabama","81468","*****","61760","313","17971","230","7","13","207","123","0","192","166","210","1357","163","0","192","1357","163"
"0500000US01069","Houston County, Alabama","104173","*****","72292","449","27689","586","309","184","880","176","140","227","579","450","2284","578","183","174","2101","578"
"0500000US01073","Jefferson County, Alabama","660367","*****","345005","2469","282511","2538","1260","609","10861","908","711","1120","11996","2666","8023","1926","643","473","7380","1894"
"0500000US01077","Lauderdale County, Alabama","92596","*****","80447","239","9741","487","462","262","492","283","0","192","0","192","1454","566","93","112","1361","567"
"0500000US01081","Lee County, Alabama","156993","*****","110378","1573","36539","898","231","254","5714","254","0","192","1476","1606","2655","966","204","252","2451","916"
"0500000US01083","Limestone County, Alabama","91663","*****","73933","1273","12229","1127","839","889","1155","320","0","192","1557","1228","1950","1109","145","255","1805","1041"
"0500000US01089","Madison County, Alabama","353089","*****","243431","1303","85184","1913","1755","694","8967","1196","344","394","2579","1196","10829","2436","1001","865","9828","2290"
"0500000US01095","Marshall County, Alabama","94725","*****","88843","1053","2604","471","213","151","46","48","73","80","941","1063","2005","496","223","224","1782","458"
"0500000US01097","Mobile County, Alabama","415395","*****","246791","1559","145156","2318","3371","944","8444","638","0","192","3968","1984","7665","2309","599","482","7066","2208"
"0500000US01101","Montgomery County, Alabama","226519","*****","86467","1356","128205","862","273","181","4930","1174","100","139","1624","1287","4920","1344","734","488","4186","1299"
"0500000US01103","Morgan County, Alabama","119565","*****","99867","850","15507","768","276","240","1056","120","29","48","497","475","2333","636","0","192","2333","636"
"0500000US01115","St. Clair County, Alabama","87074","*****","75170","803","8725","678","215","399","827","418","0","192","1360","996","777","627","33","80","744","617"
"0500000US01117","Shelby County, Alabama","208713","*****","167146","1561","25871","950","455","369","4540","557","118","155","8127","1555","2456","1184","63","76","2393","1184"
