"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Enrolled in school","Margin of Error!!Total!!Enrolled in school","Estimate!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Margin of Error!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Estimate!!Total!!Enrolled in school!!Graduate or professional school","Margin of Error!!Total!!Enrolled in school!!Graduate or professional school","Estimate!!Total!!Not enrolled in school","Margin of Error!!Total!!Not enrolled in school"
"0500000US01003","Baldwin County, Alabama","205713","1254","45966","2688","1991","787","2920","958","10814","1484","10721","1410","11704","1516","6620","2264","1196","600","159747","2656"
"0500000US01015","Calhoun County, Alabama","111814","808","26916","1803","2110","724","1306","513","4658","894","6025","924","5900","742","5726","1097","1191","699","84898","1748"
"0500000US01043","Cullman County, Alabama","80466","590","16704","1229","931","486","786","441","3719","917","4732","1000","3778","561","2572","827","186","202","63762","1374"
"0500000US01049","DeKalb County, Alabama","69739","489","17904","1710","581","324","1627","532","3816","868","4062","820","3548","709","4000","990","270","297","51835","1578"
"0500000US01051","Elmore County, Alabama","78905","688","18956","1114","855","384","1114","501","3231","1153","4933","1091","5153","1043","2663","1013","1007","562","59949","1279"
"0500000US01055","Etowah County, Alabama","100140","561","22726","1328","1343","647","1475","674","5885","977","4113","915","5397","784","3549","855","964","595","77414","1352"
"0500000US01069","Houston County, Alabama","100728","334","24810","700","1470","343","1221","335","5961","551","5383","602","5669","287","3671","572","1435","291","75918","753"
"0500000US01073","Jefferson County, Alabama","634210","1677","169666","4367","12302","1764","8327","1567","32378","2898","35254","2778","35649","2293","35661","3054","10095","1630","464544","4093"
"0500000US01077","Lauderdale County, Alabama","89490","650","23822","1646","1453","574","1074","445","3796","798","3880","680","5211","784","7659","1412","749","416","65668","1486"
